ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
147.90.234.213,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.214,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.22,ipv4,False,AbuseIPDB|Blocklist.de (all)|Blocklist.de (ssh)|GreenSnow|RTBH (Turkiye)|Stamparm IPsum,6,crowd-sourced,100,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.223,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.30,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.34,ipv4,False,RTBH (Turkiye)|Tor Exit Nodes,2,government-feed,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.63,ipv4,False,Stamparm IPsum|Tor Exit Nodes,2,multi-source,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.234.88,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.15,ipv4,False,AbuseIPDB|Tor Exit Nodes,2,crowd-sourced,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.16,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.17,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.20,ipv4,False,RTBH (Turkiye)|Tor Exit Nodes,2,government-feed,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.21,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.22,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.226,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.227,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.228,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.249,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.34,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.235.40,ipv4,False,Tor Exit Nodes,1,anonymizer,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.90.236.136,ipv4,False,Blocklist.de (all)|Blocklist.de (bots),2,attacker,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.107.72,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh)|Stamparm IPsum,3,attacker,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.132.124,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.134.219,ipv4,False,AbuseIPDB|Blocklist.de (all)|Blocklist.de (ssh)|GreenSnow|RTBH (Turkiye)|Stamparm IPsum,6,crowd-sourced,100,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.138.5,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.144.116,ipv4,False,AbuseIPDB,1,crowd-sourced,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.145.26,ipv4,False,AbuseIPDB,1,crowd-sourced,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.146.171,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.153.124,ipv4,False,Stamparm IPsum,1,multi-source,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.155.118,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.168.89,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh),2,attacker,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.169.104,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.171.167,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.171.185,ipv4,False,BinaryDefense,1,attacker,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.171.188,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
